Country Name,Country Code,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,SE.PRM.CMPT.ZS,,,,,,,,,,
Afghanistan,AFG,GC.REV.XGRT.GD.ZS,6.937950127,7.988505196,10.51678115,11.03618454,11.42983699,9.888084457,9.452561848,,,
Afghanistan,AFG,SE.ENR.PRSC.FM.ZS,0.56961,0.589020014,0.613089979,0.629509985,0.667779982,0.673780024,0.659749985,0.658339977,,
Afghanistan,AFG,NV.SRV.TETC.ZS,42.03244307,47.14632667,47.21851397,51.04611926,52.020808,53.54942798,54.95535964,54.20765814,55.00129855,
Afghanistan,AFG,AG.SRF.TOTL.K2,652860,652860,652860,652860,652860,652860,652860,652860,652860,
Afghanistan,AFG,GC.TAX.TOTL.GD.ZS,5.229755775,6.039428306,8.434997714,9.123651121,8.854568097,7.471638846,7.158329958,,,
Afghanistan,AFG,ER.PTD.TOTL.ZS,,,,,,,,0.46,,
Afghanistan,AFG,IC.REG.DURS,9.5,9.5,7.5,7.5,7.5,7.5,5.5,7.5,7.5,7.5
Afghanistan,AFG,DT.TDS.DECT.EX.ZS,,0.427928822,0.460269323,0.363086506,0.309514227,0.683287614,1.443798491,1.826127011,2.878545958,
Afghanistan,AFG,SP.URB.GROW,4.213174285,3.995872755,4.046627059,4.271538044,4.531354508,4.69466817,4.734332923,4.609630067,4.392151969,
Albania,ALB,SP.ADO.TFRT,18.6,19.0396,19.4792,19.9188,20.3584,20.798,21.1438,21.4896,21.8354,
Albania,ALB,NV.AGR.TOTL.ZS,19.87479759,19.42053473,19.40978082,20.65818885,20.95812415,21.66068033,22.50308997,22.92019947,22.13193255,
Albania,ALB,ER.H2O.FWTL.ZS,4.873605948,,,,,,,4.873605948,,
Albania,ALB,SH.STA.BRTC.ZS,,,99.3,,,,,,,
Albania,ALB,EN.ATM.CO2E.PC,1.322334855,1.484311139,1.495600199,1.578573584,1.803972418,1.624721963,1.662184826,,,
Albania,ALB,SP.DYN.CONU.ZS,,,69.3,,,,,,,
Albania,ALB,FS.AST.DOMS.GD.ZS,62.07675464,66.5118816,68.38229862,66.72476544,69.51755799,68.22805788,67.63840856,68.01696759,62.90255768,
Albania,ALB,EG.USE.ELEC.KH.PC,1213.124369,1617.744156,1837.392003,1947.462789,2195.00272,2118.440257,2531.888539,,,
Albania,ALB,EG.USE.PCAP.KG.OE,679.8617651,697.0041197,722.5838671,724.5629194,770.3402667,685.956403,800.5687255,,,
Albania,ALB,NE.EXP.GNFS.ZS,28.08422195,29.59022785,29.600867,32.44001683,34.01368536,33.35164262,35.44905893,28.23090803,27.18895969,
Albania,ALB,DT.DOD.DECT.CD,2902276000,4242396000,4591915000,5376134000,6314459000,7160255000,8805659000,8399116000,8269240000,
Albania,ALB,SP.DYN.TFRT.IN,1.635,1.625,1.636,1.663,1.699,1.735,1.765,1.784,,
Albania,ALB,BX.KLT.DINV.CD.WD,652275603.7,1240972849,1343091150,1089416366,1049425306,920080650.1,1253783309,1149384241,991259675.2,
